Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766066231.428205,0.2700,0.2700,10.0700,1.4651,-1.1951,326.9800,-47.1202,14.1002,CAR ,2,4
1766066231.484365,0.2700,0.2700,10.0300,1.4651,-1.1951,326.9900,-47.1285,14.1185,CAR ,2,4
1766066231.539756,0.2700,0.2700,10.0400,1.4651,-1.1951,326.9800,-47.1069,14.0869,CAR ,2,4
1766066231.601273,0.2700,0.2700,10.1600,1.4651,-1.1951,326.9800,-47.1383,14.1183,CAR ,2,4
1766066231.6606395,0.2700,0.2700,10.0200,1.4651,-1.1951,326.9900,-47.1252,14.1152,CAR ,2,4
1766066231.7843475,0.2600,0.2600,10.0700,1.4650,-1.2050,326.9800,-47.1244,14.1044,CAR ,2,4
1766066231.8476698,0.2600,0.2600,10.0300,1.4650,-1.2050,326.9900,-47.1008,14.0908,CAR ,2,4
1766066231.9563038,0.2600,0.2600,10.0500,1.4650,-1.2050,326.9800,-47.1523,14.1323,CAR ,2,4
1766066232.0515056,0.2600,0.2600,9.9800,1.4650,-1.2050,326.9900,-47.1143,14.1043,CAR ,2,4
1766066232.155362,0.2700,0.2700,10.0000,1.4650,-1.1950,326.9900,-47.1331,14.1231,CAR ,2,4
1766066232.2576003,0.2600,0.2600,10.0400,1.4650,-1.2050,326.9900,-47.1189,14.1089,CAR ,2,4
1766066232.3704126,0.2600,0.2600,9.9900,1.4651,-1.2051,326.9900,-47.1248,14.1148,CAR ,2,4
1766066232.4220088,0.2600,0.2600,9.8100,1.4650,-1.2050,327.0000,-47.1038,14.1038,CAR ,2,4
1766066232.523454,0.2700,0.2700,9.9700,1.4651,-1.1951,326.9900,-47.1198,14.1098,CAR ,2,4
1766066232.6080308,0.2600,0.2600,10.0900,1.4651,-1.2051,326.9800,-47.0940,14.0740,CAR ,2,4
1766066232.6778688,0.2600,0.2600,10.2300,1.4651,-1.2051,326.9700,-47.1092,14.0792,CAR ,2,4
1766066232.7313027,0.2700,0.2700,10.3100,1.4651,-1.1951,326.9700,-47.1231,14.0931,CAR ,2,4
1766066232.7968943,0.2700,0.2700,10.2200,1.4651,-1.1951,326.9700,-47.1148,14.0848,CAR ,2,4
1766066232.867036,0.2700,0.2700,10.1000,1.4651,-1.1951,326.9800,-47.1032,14.0832,CAR ,2,4
1766066232.9231768,0.2700,0.2700,10.0100,1.4651,-1.1951,326.9900,-47.1259,14.1159,CAR ,2,4
1766066232.9776247,0.2600,0.2600,9.8600,1.4651,-1.2051,327.0000,-47.1122,14.1122,CAR ,2,4
1766066233.0348694,0.2600,0.2600,9.9800,1.4651,-1.2051,326.9900,-47.1297,14.1197,CAR ,2,4
1766066233.1040835,0.2600,0.2600,9.9800,1.4650,-1.2050,326.9900,-47.0983,14.0883,CAR ,2,4
1766066233.166748,0.2600,0.2600,10.1200,1.4651,-1.2051,326.9800,-47.1076,14.0876,CAR ,2,4
1766066233.2193196,0.2600,0.2600,10.2600,1.4650,-1.2050,326.9700,-47.1053,14.0753,CAR ,2,4
1766066233.312053,0.2700,0.2700,10.2100,1.4637,-1.1937,326.9700,-47.2596,14.2296,CAR ,2,4
1766066233.3683538,0.2700,0.2700,10.7500,1.4576,-1.1876,326.9400,-47.4393,14.3793,CAR ,2,4
1766066234.2914045,2.3400,-1.0000,2.3400,1.4638,0.8762,299.7100,-54.5170,-5.7730,BALL,6,2
1766066234.3945825,3.1200,-1.0000,3.1200,1.4411,1.6789,300.2400,-53.2455,-6.5145,BALL,6,2
1766066234.4615033,0.2700,0.2700,4.9800,1.2408,-0.9708,327.7000,-44.2079,11.9079,CAR ,2,4
1766066234.5115387,5.1900,-1.0000,5.1900,1.4136,3.7764,300.8600,-51.6969,-7.4431,BALL,6,2
1766066234.564765,6.2300,-1.0000,6.2300,1.4025,4.8275,301.0200,-50.9613,-8.0187,BALL,6,2
1766066234.6369238,0.2900,0.2900,2.8000,1.2091,-0.9191,328.7200,-41.2379,9.9579,CAR ,2,4
1766066234.7681813,0.2800,0.2800,2.2000,1.1852,-0.9052,329.3100,-39.1922,8.5022,CAR ,2,4
1766066234.828439,0.2800,0.2800,2.0800,1.1745,-0.8945,329.5100,-38.3560,7.8660,CAR ,2,4
1766066234.8919592,0.2700,0.2700,1.8500,1.1634,-0.8934,330.0200,-37.2774,7.2974,CAR ,2,4
1766066234.954576,1.0700,0.2700,1.6100,1.1537,-0.0837,330.5500,-36.2029,6.7529,CAR ,2,4
1766066235.0054154,0.9900,0.2800,1.4600,1.1450,-0.1550,330.9500,-35.1118,6.0618,CAR ,2,4
1766066235.0572138,0.9300,0.2800,1.3700,1.1367,-0.2067,331.3400,-34.1135,5.4535,CAR ,2,4
1766066235.1126955,0.8700,0.2800,1.2600,1.1277,-0.2577,331.8200,-33.0257,4.8457,CAR ,2,4
1766066235.1768758,0.8100,0.2700,1.1700,1.1171,-0.3071,332.3300,-31.8503,4.1803,CAR ,2,4
1766066235.2478104,0.7700,0.2700,1.1100,1.1056,-0.3356,332.6500,-30.5700,3.2200,CAR ,2,4
1766066235.3030376,0.7500,0.2700,1.0800,1.0964,-0.3464,333.3600,-29.7268,3.0868,CAR ,2,4
1766066235.3542798,0.7300,0.2600,1.0500,1.0884,-0.3584,334.1900,-29.0324,3.2224,CAR ,2,4
1766066235.4124033,0.7000,0.2600,1.0000,1.0787,-0.3787,334.7100,-27.9803,2.6903,CAR ,2,4
1766066235.5224564,0.7000,0.2600,0.9900,1.0621,-0.3621,336.2900,-25.9374,2.2274,CAR ,2,4
1766066235.5864456,0.7200,0.2700,1.0100,1.0527,-0.3327,337.4300,-24.7028,2.1328,CAR ,2,4
