Time,Vision_Dist,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766072797.117812,1.4500,1.5802,-0.1302,331.3500,-32.2955,3.6455,CAR ,2,4,2.24,0.389
1766072797.1686544,1.4000,1.5713,-0.1713,331.5900,-31.6959,3.2859,CAR ,2,4,2.23,0.384
1766072797.2182055,1.4400,1.5624,-0.1224,332.3400,-31.0479,3.3879,CAR ,2,4,2.24,0.390
1766072797.268726,1.4400,1.5537,-0.1137,332.8300,-30.4671,3.2971,CAR ,2,4,2.25,0.378
1766072797.3257272,1.4700,1.5432,-0.0732,333.5000,-29.6573,3.1573,CAR ,2,4,2.23,0.400
1766072797.4259434,1.4100,1.5263,-0.1163,334.4900,-28.4685,2.9585,CAR ,2,4,2.22,0.362
1766072797.42662,1.8800,1.6690,0.2110,328.9000,-36.7002,5.6002,BALL,6,4,75.37,0.000
1766072797.5264797,1.4300,1.5083,-0.0783,335.3800,-26.7900,2.1700,CAR ,2,4,2.24,0.399
1766072797.5265832,1.6200,1.6460,-0.0260,329.5900,-35.2380,4.8280,BALL,6,4,75.36,0.000
1766072797.5780442,1.4000,1.5002,-0.1002,336.0200,-25.8911,1.9111,CAR ,2,4,2.23,0.367
1766072797.5781593,1.5800,1.6355,-0.0555,330.0400,-34.4412,4.4812,BALL,6,4,75.39,0.000
1766072797.6279936,1.4000,1.4925,-0.0925,336.6400,-25.2840,1.9240,CAR ,2,4,2.22,0.375
1766072797.628057,1.5900,1.6254,-0.0354,330.4700,-33.9352,4.4052,BALL,6,4,75.35,0.000
1766072797.6786425,1.4100,1.4847,-0.0747,337.7900,-24.8211,2.6111,CAR ,2,4,2.23,0.363
1766072797.6788402,1.5700,1.6152,-0.0452,331.2800,-33.5729,4.8529,BALL,6,4,75.39,0.000
1766072797.7792344,1.4100,1.4671,-0.0571,338.2500,-23.4465,1.6965,CAR ,2,4,2.22,0.390
1766072797.7793157,1.5300,1.5923,-0.0623,331.7400,-32.4175,4.1575,BALL,6,4,75.35,0.000
1766072797.8306925,1.4400,1.4578,-0.0178,338.8500,-22.7412,1.5912,CAR ,2,4,2.23,0.408
1766072797.8309567,1.5400,1.5802,-0.0402,332.0400,-31.8313,3.8713,BALL,6,4,75.39,0.000
1766072797.8814144,1.4100,1.4493,-0.0393,339.5900,-22.0653,1.6553,CAR ,2,4,2.23,0.376
1766072797.8814914,1.5000,1.5691,-0.0691,332.7000,-31.2639,3.9639,BALL,6,4,75.37,0.000
1766072797.9317222,1.4000,1.4404,-0.0404,340.1400,-21.3091,1.4491,CAR ,2,4,2.23,0.389
1766072797.931786,1.5100,1.5575,-0.0475,333.1400,-30.6198,3.7598,BALL,6,4,75.35,0.000
1766072798.0323713,1.3900,1.4243,-0.0343,341.0000,-20.1219,1.1219,CAR ,2,4,2.23,0.362
1766072798.0324464,1.5300,1.5363,-0.0063,333.7400,-29.6433,3.3833,BALL,6,4,75.36,0.000
1766072798.0821645,1.3200,1.4147,-0.0947,341.5800,-19.4344,1.0144,CAR ,2,4,2.22,0.417
1766072798.1324937,1.3200,1.4066,-0.0866,342.1900,-18.7251,0.9151,CAR ,2,4,2.23,0.378
1766072798.1325555,1.5100,1.5129,-0.0029,334.8100,-28.4803,3.2903,BALL,6,4,75.38,0.000
1766072798.183994,1.3200,1.3987,-0.0787,342.7100,-17.9298,0.6398,CAR ,2,4,2.22,0.376
1766072798.184174,1.5000,1.5022,-0.0022,335.1200,-27.7957,2.9157,BALL,6,4,75.38,0.000
1766072798.2336953,1.2800,1.3912,-0.1112,343.3600,-17.1165,0.4765,CAR ,2,4,2.22,0.371
1766072798.2337728,1.5000,1.4919,0.0081,335.7200,-27.0889,2.8089,BALL,6,4,75.37,0.000
1766072798.284068,1.3100,1.3839,-0.0739,344.2500,-16.1955,0.4455,CAR ,2,4,2.25,0.380
1766072798.2841663,1.4600,1.4816,-0.0216,336.2200,-26.2750,2.4950,BALL,6,4,75.40,0.000
1766072798.3358161,1.2900,1.3755,-0.0855,344.9000,-15.1647,0.0647,CAR ,2,4,2.21,0.385
1766072798.3358982,1.4700,1.4701,-0.0001,336.6300,-25.3614,1.9914,BALL,6,4,75.38,0.000
1766072798.3853455,1.3000,1.3690,-0.0690,346.0400,-14.6581,0.6981,CAR ,2,4,2.24,0.337
1766072798.385434,1.4100,1.4611,-0.0511,337.5500,-24.9507,2.5007,BALL,6,4,75.39,0.000
1766072798.4858809,1.3300,1.3522,-0.0222,346.9900,-13.3424,0.3324,CAR ,2,4,2.22,0.392
1766072798.4861796,1.4300,1.4381,-0.0081,338.3200,-23.8690,2.1890,BALL,6,4,75.37,0.000
1766072798.536026,1.3000,1.3437,-0.0437,347.8600,-12.7210,0.5810,CAR ,2,4,2.24,0.387
1766072798.5360885,1.3800,1.4266,-0.0466,338.8900,-23.3665,2.2565,BALL,6,4,75.38,0.000
1766072798.5861127,1.3000,1.3357,-0.0357,348.2800,-12.0456,0.3256,CAR ,2,4,2.21,0.373
1766072798.5861745,1.3900,1.4155,-0.0255,339.3300,-22.8033,2.1333,BALL,6,4,75.37,0.000
1766072798.635853,1.2700,1.3275,-0.0575,349.1600,-11.5141,0.6741,CAR ,2,4,2.24,0.378
1766072798.6359143,1.4200,1.4043,0.0157,339.8400,-22.3887,2.2287,BALL,6,4,75.37,0.000
1766072798.6941679,1.3300,1.3180,0.0120,349.9300,-10.8921,0.8221,CAR ,2,4,2.24,0.365
1766072798.694279,1.3800,1.3914,-0.0114,340.5000,-21.8979,2.3979,BALL,6,4,75.39,0.000
1766072798.7473679,1.3200,1.3098,0.0102,350.5900,-10.0778,0.6678,CAR ,2,4,2.22,0.391
1766072798.7521992,1.3500,1.3787,-0.0287,340.8600,-21.2324,2.0924,BALL,6,4,75.40,0.383
1766072798.848165,1.2900,1.2947,-0.0047,351.2500,-8.3301,-0.4199,CAR ,2,4,2.21,0.371
1766072798.8482366,1.3600,1.3582,0.0018,341.4300,-19.6838,1.1138,BALL,6,4,75.36,0.000
1766072798.898276,1.2600,1.2879,-0.0279,351.9900,-7.6381,-0.3719,CAR ,2,4,2.22,0.368
1766072798.8983397,1.3700,1.3481,0.0219,342.1300,-19.0962,1.2262,BALL,6,4,75.38,0.000
1766072798.9509487,1.2500,1.2795,-0.0295,352.9600,-6.5391,-0.5009,CAR ,2,4,2.22,0.391
1766072798.9510152,1.3800,1.3361,0.0439,342.9300,-18.1219,1.0519,BALL,6,4,75.36,0.000
1766072799.0011997,1.2400,1.2724,-0.0324,354.2800,-5.8716,0.1516,CAR ,2,4,2.24,0.338
1766072799.0512886,1.3200,1.3142,0.0058,344.0700,-16.8041,0.8741,BALL,6,4,75.37,0.392
1766072799.1016717,1.1800,1.2569,-0.0769,355.4500,-4.3056,-0.2444,CAR ,2,4,2.22,0.364
1766072799.101744,1.3500,1.3039,0.0461,344.9600,-16.2211,1.1811,BALL,6,4,75.38,0.000
1766072799.1521716,1.2200,1.2496,-0.0296,356.4600,-3.5905,0.0505,CAR ,2,4,2.24,0.367
1766072799.1522374,1.3200,1.2931,0.0269,345.7400,-15.6176,1.3576,BALL,6,4,75.35,0.000
1766072799.2022736,1.2200,1.2435,-0.0235,357.5800,-2.6855,0.2655,CAR ,2,4,2.23,0.347
1766072799.2023852,1.3300,1.2839,0.0461,346.6000,-14.8090,1.4090,BALL,6,4,75.37,0.000
1766072799.252633,1.2300,1.2370,-0.0070,358.1800,-1.8838,0.0638,CAR ,2,4,2.22,0.357
1766072799.2527993,1.2900,1.2740,0.0160,347.1400,-14.1094,1.2494,BALL,6,4,75.38,0.000
1766072799.3028355,1.1900,1.2306,-0.0406,359.0100,-0.8533,-0.1367,CAR ,2,4,2.24,0.347
1766072799.304129,1.2800,1.2643,0.0157,347.7400,-13.1791,0.9191,BALL,6,4,75.36,0.000
1766072799.3544586,1.1500,1.2241,-0.0741,359.8400,-0.2749,0.1149,CAR ,2,4,2.22,0.342
1766072799.3545358,1.2500,1.2545,-0.0045,348.6900,-12.6986,1.3886,BALL,6,4,75.37,0.000
1766072799.4047875,1.1300,1.2166,-0.0866,0.7200,0.2473,0.4727,CAR ,2,4,2.23,0.367
1766072799.404878,1.2900,1.2435,0.0465,349.3000,-12.2869,1.5869,BALL,6,4,75.38,0.000
1766072799.5042937,1.1900,1.2018,-0.0118,1.8800,1.9364,-0.0564,CAR ,2,4,2.22,0.383
1766072799.504361,1.2600,1.2214,0.0386,350.1700,-10.8210,0.9910,BALL,6,4,75.38,0.000
1766072799.5541575,1.1400,1.1944,-0.0544,2.5900,2.6755,-0.0855,CAR ,2,4,2.23,0.365
1766072799.5542495,1.2500,1.2106,0.0394,350.8800,-10.1898,1.0698,BALL,6,4,75.40,0.000
1766072799.606142,1.1700,1.1871,-0.0171,3.6200,3.5166,0.1034,CAR ,2,4,2.23,0.395
1766072799.6062324,1.2300,1.1991,0.0309,351.6900,-9.4592,1.1492,BALL,6,4,75.38,0.000
1766072799.6553252,1.1800,1.1815,-0.0015,4.3100,4.9124,-0.6024,CAR ,2,4,2.24,0.337
1766072799.6554267,1.2100,1.1902,0.0198,352.3000,-8.1504,0.4504,BALL,6,4,75.38,0.000
1766072799.7054603,1.1800,1.1729,0.0071,5.0700,5.4549,-0.3849,CAR ,2,4,2.24,0.419
1766072799.7055314,1.2000,1.1775,0.0225,353.1000,-7.7335,0.8335,BALL,6,4,75.40,0.000
1766072799.7582474,1.1800,1.1656,0.0144,5.9700,6.0376,-0.0676,CAR ,2,4,2.24,0.361
1766072799.7583172,1.1800,1.1663,0.0137,353.8200,-7.2543,1.0743,BALL,6,4,75.39,0.000
1766072799.808269,1.1600,1.1590,0.0010,7.1300,6.6283,0.5017,CAR ,2,4,2.22,0.379
1766072799.8083327,1.1700,1.1558,0.0142,354.8200,-6.7623,1.5823,BALL,6,4,75.36,0.000
1766072799.8584018,1.1700,1.1515,0.0185,8.0000,7.7961,0.2039,CAR ,2,4,2.24,0.378
1766072799.8584683,1.1700,1.1445,0.0255,355.5200,-5.7005,1.2205,BALL,6,4,75.37,0.000
1766072799.9588196,1.1400,1.1367,0.0033,9.0600,10.0401,-0.9801,CAR ,2,4,2.23,0.375
1766072799.9588838,1.1600,1.1219,0.0381,356.3300,-3.6652,-0.0048,BALL,6,4,75.37,0.000
1766072800.01051,1.1100,1.1287,-0.0187,10.0600,10.2169,-0.1569,CAR ,2,4,2.23,0.426
1766072800.010602,1.1400,1.1094,0.0306,357.3600,-3.6010,0.9610,BALL,6,4,75.38,0.000
1766072800.061142,1.1000,1.1229,-0.0229,11.0200,11.8004,-0.7804,CAR ,2,4,2.22,0.360
1766072800.0613077,1.1400,1.0996,0.0404,358.3400,-2.0987,0.4387,BALL,6,4,75.37,0.000
1766072800.1134,1.1300,1.1156,0.0144,11.6400,11.7371,-0.0971,CAR ,2,4,2.22,0.375
1766072800.113464,1.1200,1.0881,0.0319,358.8900,-2.2602,1.1502,BALL,6,4,75.38,0.000
1766072800.1634448,1.0800,1.1091,-0.0291,12.4200,13.1071,-0.6871,CAR ,2,4,2.22,0.356
1766072800.1635215,1.1400,1.0778,0.0622,359.4100,-0.9768,0.3868,BALL,6,4,75.37,0.000
1766072800.2129185,1.1000,1.1013,-0.0013,12.9800,13.7142,-0.7342,CAR ,2,4,2.23,0.397
1766072800.2129805,1.1100,1.0659,0.0441,359.8100,-0.4719,0.2819,BALL,6,4,75.41,0.000
1766072800.2629035,1.0800,1.0944,-0.0144,13.5500,14.8216,-1.2716,CAR ,2,4,2.22,0.369
1766072800.2629685,1.0900,1.0550,0.0350,0.6200,0.5462,0.0738,BALL,6,4,75.38,0.000
1766072800.3144424,1.0900,1.0881,0.0019,14.8100,17.1537,-2.3437,CAR ,2,4,2.22,0.354
1766072800.3160496,1.0900,1.0434,0.0466,1.7800,2.5256,-0.7456,BALL,6,4,75.36,1.285
1766072800.365232,1.0300,1.0812,-0.0512,15.4400,17.8386,-2.3986,CAR ,2,4,2.22,0.342
1766072800.3653507,1.1000,1.0324,0.0676,2.5800,3.2313,-0.6513,BALL,6,4,75.36,0.000
1766072800.4652014,1.0300,1.0657,-0.0357,16.6600,19.0515,-2.3915,CAR ,2,4,2.23,0.376
1766072800.4652636,1.0600,1.0095,0.0505,3.9200,4.4287,-0.5087,BALL,6,4,75.38,0.000
1766072800.515311,1.0300,1.0581,-0.0281,17.4100,19.8538,-2.4438,CAR ,2,4,2.23,0.387
1766072800.5165875,1.0400,0.9977,0.0423,4.6700,5.1442,-0.4742,BALL,6,4,75.40,0.000
1766072800.5665252,1.0500,1.0505,-0.0005,18.1300,20.7613,-2.6313,CAR ,2,4,2.22,0.384
1766072800.566589,1.0200,0.9858,0.0342,5.2800,5.9669,-0.6869,BALL,6,4,75.38,0.000
1766072800.6175444,1.0300,1.0426,-0.0126,18.7800,21.7106,-2.9306,CAR ,2,4,2.23,0.388
1766072800.617616,1.0100,0.9736,0.0364,5.8800,6.8293,-0.9493,BALL,6,4,75.38,0.000
1766072800.6667914,1.0100,1.0360,-0.0260,19.6700,22.6294,-2.9594,CAR ,2,4,2.21,0.395
1766072800.6680284,1.0300,0.9624,0.0676,6.8500,7.6853,-0.8353,BALL,6,4,75.39,0.000
1766072800.7182255,1.0100,1.0289,-0.0189,20.5700,23.6737,-3.1037,CAR ,2,4,2.23,0.385
1766072800.7217672,1.0000,0.9498,0.0502,7.8600,8.7257,-0.8657,BALL,6,4,75.39,0.546
1766072800.7689517,1.0000,1.0222,-0.0222,21.4800,24.5276,-3.0476,CAR ,2,4,2.23,0.374
1766072800.7690222,1.0000,0.9398,0.0602,8.6600,9.4613,-0.8013,BALL,6,4,75.38,0.000
1766072800.86864,0.9600,1.0100,-0.0500,23.1800,25.8801,-2.7001,CAR ,2,4,2.23,0.374
1766072800.8687305,0.9700,0.9187,0.0513,10.5000,10.7277,-0.2277,BALL,6,4,75.39,0.000
1766072800.9694664,0.9700,0.9996,-0.0296,23.7900,27.1804,-3.3904,CAR ,2,4,2.22,0.332
1766072800.96955,0.9400,0.9004,0.0396,11.2500,11.9755,-0.7255,BALL,6,4,75.38,0.000
1766072801.0203335,0.9900,0.9928,-0.0028,24.4000,28.5742,-4.1742,CAR ,2,4,2.23,0.333
1766072801.020412,0.9200,0.8898,0.0302,11.9300,13.3224,-1.3924,BALL,6,4,75.39,0.000
1766072801.0693982,1.0100,0.9870,0.0230,24.8200,29.7318,-4.9118,CAR ,2,4,2.24,0.262
1766072801.070711,0.9100,0.8812,0.0288,12.5100,14.4341,-1.9241,BALL,6,4,75.37,0.000
1766072801.1192377,1.0200,0.9809,0.0391,25.1000,30.5376,-5.4376,CAR ,2,4,2.23,0.259
1766072801.1193056,0.9100,0.8724,0.0376,13.1500,15.1861,-2.0361,BALL,6,4,75.36,0.000
1766072801.169462,0.8900,0.8609,0.0291,14.7700,15.9105,-1.1405,BALL,6,4,75.39,0.307
1766072801.1695328,1.1100,0.9726,0.1374,25.6600,31.3438,-5.6838,CAR ,2,4,2.23,0.000
1766072801.2194755,0.8800,0.8515,0.0285,16.0300,17.5702,-1.5402,BALL,6,4,75.38,0.265
1766072801.2195432,1.2400,0.9659,0.2741,26.3300,33.0603,-6.7303,CAR ,2,4,2.23,0.000
1766072801.2717998,0.8600,0.8421,0.0179,16.5500,19.2003,-2.6503,BALL,6,4,75.34,0.264
1766072801.2718573,1.2800,0.9596,0.3204,26.5200,34.7341,-8.2141,CAR ,2,4,2.23,0.000
