Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766065940.0864658,0.9700,0.2600,1.4400,1.5353,-0.5653,332.2400,-32.0101,4.2501,CAR ,2,4
1766065940.1874664,0.9500,0.2600,1.4100,1.5176,-0.5676,333.1200,-30.5459,3.6659,CAR ,2,4
1766065940.2512226,0.9500,0.2600,1.4100,1.5048,-0.5548,333.7900,-29.7508,3.5408,CAR ,2,4
1766065940.312212,0.9200,0.2600,1.3600,1.4936,-0.5736,334.4400,-29.2386,3.6786,CAR ,2,4
1766065940.3664212,0.9400,0.2600,1.3900,1.4839,-0.5439,334.6700,-28.6821,3.3521,CAR ,2,4
1766065940.4178362,0.9300,0.2600,1.3800,1.4749,-0.5449,335.2700,-27.9206,3.1906,CAR ,2,4
1766065940.490671,0.9300,0.2600,1.3700,1.4624,-0.5324,335.9500,-27.0373,2.9873,CAR ,2,4
1766065940.5427139,0.9400,0.2700,1.3800,1.4530,-0.5130,336.4700,-26.0844,2.5544,CAR ,2,4
1766065940.598063,0.9400,0.2700,1.3800,1.4434,-0.5034,337.0800,-25.3603,2.4403,CAR ,2,4
1766065940.6491556,0.9400,0.2700,1.3900,1.4355,-0.4955,337.9800,-24.6075,2.5875,CAR ,2,4
1766065940.7083807,0.9400,0.2600,1.3900,1.4260,-0.4860,338.6800,-23.6563,2.3363,CAR ,2,4
1766065940.759468,1.5000,-1.0000,1.5000,1.5246,-0.0246,332.2600,-32.1283,4.3883,BALL,6,4
1766065940.8634357,0.8900,0.2600,1.3100,1.4010,-0.5110,340.8000,-20.9453,1.7453,CAR ,2,4
1766065940.9879925,0.8900,0.2500,1.3200,1.3792,-0.4892,342.2400,-19.6404,1.8804,CAR ,2,4
1766065941.0934012,0.8800,0.2600,1.3000,1.3610,-0.4810,343.4400,-18.4115,1.8515,CAR ,2,4
1766065941.14814,0.8900,0.2600,1.3100,1.3516,-0.4616,344.0300,-17.6075,1.6375,CAR ,2,4
1766065941.2109923,0.8900,0.2600,1.3100,1.3420,-0.4520,344.7800,-16.2560,1.0360,CAR ,2,4
1766065941.2659883,0.8700,0.2600,1.2800,1.3344,-0.4644,345.5000,-15.2192,0.7192,CAR ,2,4
1766065941.3869936,0.8600,0.2600,1.2600,1.3202,-0.4602,347.9100,-13.1849,1.0949,CAR ,2,4
1766065941.4483535,0.8900,0.2600,1.3000,1.3111,-0.4211,348.3800,-12.5973,0.9773,CAR ,2,4
1766065941.515835,0.8600,0.2700,1.2600,1.3002,-0.4402,349.4800,-11.9884,1.4684,CAR ,2,4
1766065941.5668013,1.3400,-1.0000,1.3400,1.3504,-0.0104,340.2300,-22.7587,2.9887,BALL,6,4
1766065941.6233914,0.8800,0.2700,1.2900,1.2821,-0.4021,350.4700,-10.8313,1.3013,CAR ,2,4
1766065941.6817782,0.8700,0.2700,1.2600,1.2726,-0.4026,351.1400,-9.9986,1.1386,CAR ,2,4
1766065941.7329152,0.8300,0.2700,1.2100,1.2650,-0.4350,351.5500,-9.3376,0.8876,CAR ,2,4
1766065941.800304,0.8500,0.2700,1.2300,1.2547,-0.4047,352.5300,-8.2146,0.7446,CAR ,2,4
1766065941.8653228,0.8300,0.2700,1.2100,1.2439,-0.4139,353.4300,-7.3365,0.7665,CAR ,2,4
1766065941.9362042,0.8200,0.2700,1.1900,1.2331,-0.4131,354.4900,-6.1286,0.6186,CAR ,2,4
1766065942.0032818,0.8000,0.2600,1.1600,1.2224,-0.4224,355.2100,-5.1811,0.3911,CAR ,2,4
1766065942.127646,0.8100,0.2600,1.1800,1.2024,-0.3924,357.4500,-3.1783,0.6283,CAR ,2,4
1766065942.1916382,0.8100,0.2700,1.1700,1.1925,-0.3825,358.0700,-2.1143,0.1843,CAR ,2,4
1766065942.3123114,0.7800,0.2700,1.1200,1.1747,-0.3947,0.0400,0.0198,0.0202,CAR ,2,4
1766065942.3702137,0.7900,0.2600,1.1400,1.1667,-0.3767,1.5800,1.3983,0.1817,CAR ,2,4
1766065942.4218888,0.7800,0.2700,1.1300,1.1595,-0.3795,2.4500,2.1931,0.2569,CAR ,2,4
1766065942.4743884,0.7700,0.2600,1.1100,1.1519,-0.3819,4.0300,3.3556,0.6744,CAR ,2,4
1766065942.527613,0.7700,0.2600,1.1000,1.1452,-0.3752,4.8300,5.2046,-0.3746,CAR ,2,4
1766065942.5799837,0.7600,0.2600,1.0900,1.1399,-0.3799,6.0900,5.9146,0.1754,CAR ,2,4
1766065942.6312394,0.7100,0.2600,1.0200,1.1338,-0.4238,6.6200,6.7178,-0.0978,CAR ,2,4
1766065942.7018068,0.7400,0.2500,1.0600,1.1262,-0.3862,7.2200,6.5609,0.6591,CAR ,2,4
1766065942.8152187,0.7400,0.2600,1.0600,1.1158,-0.3758,8.2400,8.9909,-0.7509,CAR ,2,4
1766065942.9187534,0.7200,0.2600,1.0300,1.1035,-0.3835,9.7400,9.2783,0.4617,CAR ,2,4
1766065943.0141528,0.7500,0.2600,1.0800,1.0908,-0.3408,10.8100,10.8988,-0.0888,CAR ,2,4
1766065943.0888262,0.7300,0.2600,1.0500,1.0824,-0.3524,11.9100,12.4325,-0.5225,CAR ,2,4
1766065943.139569,0.7300,0.2600,1.0400,1.0763,-0.3463,12.9800,13.2463,-0.2663,CAR ,2,4
1766065943.204443,0.7200,0.2700,1.0100,1.0675,-0.3475,13.5400,14.1306,-0.5906,CAR ,2,4
1766065943.257931,0.7300,0.2600,1.0500,1.0596,-0.3296,14.0500,14.9593,-0.9093,CAR ,2,4
1766065943.3317506,0.7300,0.2700,1.0400,1.0484,-0.3184,14.8900,16.7728,-1.8828,CAR ,2,4
1766065943.3979685,0.7100,0.2700,1.0100,1.0386,-0.3286,15.6200,18.5207,-2.9007,CAR ,2,4
1766065943.453045,0.7100,0.2600,1.0100,1.0305,-0.3205,17.4200,19.5944,-2.1744,CAR ,2,4
1766065943.5145967,0.7100,0.2700,1.0100,1.0214,-0.3114,18.7300,20.2580,-1.5280,CAR ,2,4
1766065943.6224236,0.7100,0.2600,1.0000,1.0054,-0.2954,20.2800,22.2825,-2.0025,CAR ,2,4
1766065943.7242904,0.7000,0.2600,1.0000,0.9954,-0.2954,21.4900,23.0299,-1.5399,CAR ,2,4
1766065943.7829688,0.6800,0.2600,0.9600,0.9898,-0.3098,22.1100,23.7708,-1.6608,CAR ,2,4
1766065943.8814273,0.7000,0.2500,0.9900,0.9806,-0.2806,23.1600,25.4621,-2.3021,CAR ,2,4
1766065943.9360943,0.7000,0.2500,1.0100,0.9730,-0.2730,23.4500,26.7736,-3.3236,CAR ,2,4
1766065944.003728,0.7100,0.2500,1.0100,0.9639,-0.2539,24.5300,27.7886,-3.2586,CAR ,2,4
1766065944.072924,0.7400,0.2600,1.0600,0.9527,-0.2127,25.3200,28.7638,-3.4438,CAR ,2,4
1766065944.1282344,0.7700,0.2500,1.1100,0.9439,-0.1739,25.6500,29.5518,-3.9018,CAR ,2,4
1766065944.1860442,0.8000,0.2500,1.1600,0.9347,-0.1347,25.9300,30.2390,-4.3090,CAR ,2,4
1766065944.255144,0.8500,0.2400,1.2600,0.9242,-0.0742,26.4200,30.7558,-4.3358,CAR ,2,4
1766065944.314911,0.8700,0.2500,1.2900,0.9146,-0.0446,26.5600,31.5996,-5.0396,CAR ,2,4
1766065944.3765912,0.9100,0.2500,1.3600,0.9060,0.0040,26.8300,32.1771,-5.3471,CAR ,2,4
1766065944.4839013,0.2400,0.2400,1.4600,0.8886,-0.6486,27.2100,33.2059,-5.9959,CAR ,2,4
1766065944.5381567,0.2400,0.2400,1.5600,0.8806,-0.6406,27.4900,33.6794,-6.1894,CAR ,2,4
1766065944.6002595,0.2400,0.2400,1.6400,0.8713,-0.6313,27.7100,34.4195,-6.7095,CAR ,2,4
1766065944.6519413,0.2400,0.2400,1.7100,0.8638,-0.6238,27.8900,34.7929,-6.9029,CAR ,2,4
1766065944.7102468,0.2300,0.2300,1.8100,0.8561,-0.6261,28.1100,35.2486,-7.1386,CAR ,2,4
1766065944.7673948,0.2300,0.2300,1.8400,0.8488,-0.6188,28.1700,35.5181,-7.3481,CAR ,2,4
1766065944.8222423,0.2300,0.2300,1.9500,0.8409,-0.6109,28.3600,36.0422,-7.6822,CAR ,2,4
