Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766066055.5763285,0.2700,0.2700,3.0900,1.4870,-1.2170,299.6600,-54.6584,-5.6816,CAR ,2,2
1766066055.8652952,0.2700,0.2700,3.0700,1.4870,-1.2170,299.6400,-54.6494,-5.7106,CAR ,2,2
1766066056.1226728,0.2700,0.2700,3.0800,1.4871,-1.2171,299.6500,-54.6657,-5.6843,CAR ,2,2
1766066056.226838,0.2700,0.2700,3.0600,1.4870,-1.2170,299.6400,-54.6558,-5.7042,CAR ,2,2
1766066056.328217,0.2700,0.2700,3.0700,1.4870,-1.2170,299.6400,-54.6659,-5.6941,CAR ,2,2
1766066057.6590989,0.2700,0.2700,3.1100,1.4794,-1.2094,299.6700,-53.4630,-6.8670,CAR ,2,2
1766066057.9690542,0.2700,0.2700,5.5400,1.4201,-1.1501,300.6200,-50.5247,-8.8553,CAR ,2,2
1766066058.1176143,2.5600,-1.0000,2.5600,1.5880,0.9720,299.9000,-55.3136,-4.7864,BALL,6,2
1766066058.1712413,2.4400,-1.0000,2.4400,1.5754,0.8646,299.8000,-54.7296,-5.4704,BALL,6,2
1766066058.2716615,2.8200,-1.0000,2.8200,1.5530,1.2670,300.0800,-53.4095,-6.5105,BALL,6,2
1766066058.3236432,3.5100,-1.0000,3.5100,1.5433,1.9667,300.4200,-52.7224,-6.8576,BALL,6,2
1766066058.3838003,4.2800,-1.0000,4.2800,1.5286,2.7514,300.6700,-52.1525,-7.1775,BALL,6,2
1766066058.463316,0.2700,0.2700,4.1400,1.3275,-1.0575,327.9900,-43.6165,11.6065,CAR ,2,4
1766066058.5647879,0.2900,0.2900,3.1900,1.3084,-1.0184,328.3400,-42.2067,10.5467,CAR ,2,4
1766066058.6296525,0.2800,0.2800,2.7600,1.2969,-1.0169,328.7300,-41.3197,10.0497,CAR ,2,4
1766066058.682815,0.2900,0.2900,2.5200,1.2866,-0.9966,328.8800,-40.3765,9.2565,CAR ,2,4
1766066058.7940054,0.2800,0.2800,2.0600,1.2674,-0.9874,329.4600,-38.5590,8.0190,CAR ,2,4
1766066058.8548694,1.2100,0.2700,1.8300,1.2571,-0.0471,329.9800,-37.6691,7.6491,CAR ,2,4
1766066058.9069836,1.1300,0.2700,1.7100,1.2475,-0.1175,330.2800,-36.8731,7.1531,CAR ,2,4
1766066058.9632847,1.0300,0.2700,1.5400,1.2379,-0.2079,330.7200,-36.0096,6.7296,CAR ,2,4
