Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766060831.2382026,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8661,4.0061,CAR ,2,2,3.93,0.000
1766060831.3331113,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8631,4.0031,CAR ,2,2,3.94,0.000
1766060831.4383333,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8631,4.0031,CAR ,2,2,3.90,0.000
1766060831.5381737,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8607,4.0007,CAR ,2,2,3.99,0.000
1766060831.6405325,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8650,4.0050,CAR ,2,2,3.83,0.000
1766060831.6962798,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8593,3.9993,CAR ,2,2,3.83,0.000
1766060831.7825267,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8604,4.0004,CAR ,2,2,3.82,0.000
1766060831.841563,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8580,3.9980,CAR ,2,2,3.83,0.001
1766060831.8930862,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8620,4.0020,CAR ,2,2,3.81,0.001
1766060831.9834352,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8591,3.9991,CAR ,2,2,3.98,0.000
1766060832.0410001,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8771,4.0171,CAR ,2,2,3.80,0.001
1766060832.1442,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8596,3.9996,CAR ,2,2,3.83,0.000
1766060832.2417178,0.2800,0.2800,2.2900,1.6889,-1.4089,239.1500,-124.8659,4.0159,CAR ,2,2,3.99,0.000
1766060832.2938337,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8638,4.0038,CAR ,2,2,3.98,0.000
1766060832.3900092,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8621,4.0021,CAR ,2,2,3.90,0.000
1766060832.4421492,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8646,4.0046,CAR ,2,2,3.80,0.000
1766060832.5427814,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8592,3.9992,CAR ,2,2,3.82,0.000
1766060832.647234,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8607,4.0007,CAR ,2,2,3.82,0.000
1766060832.7004244,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1300,-124.8778,4.0078,CAR ,2,2,3.97,0.001
1766060832.7525702,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8839,4.0239,CAR ,2,2,4.00,0.000
1766060832.8036988,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8701,4.0101,CAR ,2,2,3.81,0.001
1766060832.9046223,0.2800,0.2800,2.2900,1.6889,-1.4089,239.1400,-124.8568,3.9968,CAR ,2,2,3.98,0.001
1766060833.0044913,0.2800,0.2800,2.2900,1.6889,-1.4089,239.1400,-124.8663,4.0063,CAR ,2,2,4.01,0.000
1766060833.1066022,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8570,3.9970,CAR ,2,2,3.96,0.000
1766060833.2032113,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8738,4.0138,CAR ,2,2,3.83,0.000
1766060833.3087866,0.2800,0.2800,2.2900,1.6890,-1.4090,239.1400,-124.8693,4.0093,CAR ,2,2,3.83,0.000
1766060833.3606467,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8776,4.0176,CAR ,2,2,3.95,0.001
1766060833.4359832,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1300,-124.8622,3.9922,CAR ,2,2,3.92,0.001
1766060833.547319,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1300,-124.8691,3.9991,CAR ,2,2,3.83,0.000
1766060833.5995293,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8678,4.0078,CAR ,2,2,3.91,0.001
1766060833.6521766,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8677,4.0077,CAR ,2,2,3.80,0.001
1766060833.7031062,0.2800,0.2800,2.2900,1.6890,-1.4090,239.1500,-124.8721,4.0221,CAR ,2,2,3.80,0.001
1766060833.8043845,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1300,-124.8621,3.9921,CAR ,2,2,3.98,0.000
1766060833.856371,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8617,4.0017,CAR ,2,2,3.82,0.000
1766060833.9479017,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8655,4.0055,CAR ,2,2,3.81,0.000
1766060834.0031614,0.2800,0.2800,2.3000,1.6890,-1.4090,239.1400,-124.8696,4.0096,CAR ,2,2,3.89,0.000
1766060834.0555987,0.2800,0.2800,2.3000,1.6889,-1.4089,239.1400,-124.8547,3.9947,CAR ,2,2,3.98,0.000
1766060834.14428,0.2800,0.2800,2.3000,1.6864,-1.4064,239.1400,-125.1017,4.2417,CAR ,2,2,3.99,0.045
1766060834.2032468,0.3000,0.3000,2.4300,1.6756,-1.3756,238.9700,-125.7808,4.7508,CAR ,2,2,3.80,0.258
1766060834.3081775,0.2900,0.2900,2.9000,1.6505,-1.3605,238.5500,-128.6894,7.2394,CAR ,2,2,4.00,0.380
1766060834.5600088,4.3000,-1.0000,4.3000,1.7416,2.5584,237.4400,-128.7952,6.2352,BALL,6,2,268.88,0.403
1766060835.1071112,0.3100,0.3100,10.7900,1.4753,-1.1653,211.2000,-140.2895,-8.5105,CAR ,2,0,3.89,0.384
1766060835.1939104,0.3100,0.3100,8.5200,1.4568,-1.1468,210.9900,-141.4839,-7.5261,CAR ,2,0,3.98,0.395
1766060835.2870562,0.3000,0.3000,5.1500,1.4378,-1.1378,210.4000,-142.7517,-6.8483,CAR ,2,0,3.80,0.377
1766060835.383973,0.3100,0.3100,3.8300,1.4164,-1.1064,210.0200,-143.9619,-6.0181,CAR ,2,0,3.83,0.405
1766060835.482542,0.2600,0.2600,2.9800,1.3952,-1.1352,209.5300,-145.0863,-5.3837,CAR ,2,0,3.81,0.383
1766060835.588297,0.2500,0.2500,2.4100,1.3715,-1.1215,208.9800,-146.4311,-4.5889,CAR ,2,0,4.00,0.413
1766060835.6884372,0.2700,0.2700,2.0800,1.3514,-1.0814,208.5500,-148.0397,-3.4103,CAR ,2,0,4.00,0.379
1766060835.7870843,1.1900,0.2500,1.8200,1.3336,-0.1436,208.0100,-149.2486,-2.7414,CAR ,2,0,3.80,0.362
1766060835.8886323,1.0500,0.2700,1.5600,1.3127,-0.2627,207.4300,-150.8254,-1.7446,CAR ,2,0,3.97,0.397
1766060835.9832962,0.9300,0.2800,1.3700,1.2945,-0.3645,206.8200,-152.0196,-1.1604,CAR ,2,0,3.84,0.383
1766060836.0832088,0.8700,0.2900,1.2600,1.2765,-0.4065,206.2400,-152.9584,-0.8016,CAR ,2,0,3.97,0.367
1766060836.1885064,0.8100,0.2500,1.1900,1.2569,-0.4469,205.5800,-154.2460,-0.1740,CAR ,2,0,3.89,0.374
1766060836.2886927,0.8100,0.2700,1.1600,1.2383,-0.4283,204.4100,-156.0414,0.4514,CAR ,2,0,3.81,0.392
1766060836.3857677,0.8000,0.2700,1.1500,1.2215,-0.4215,203.1500,-157.7744,0.9244,CAR ,2,0,3.82,0.371
1766060836.4830046,0.8000,0.2900,1.1500,1.2027,-0.4027,201.7000,-159.6583,1.3583,CAR ,2,0,4.01,0.394
1766060836.5876064,0.8100,0.3000,1.1500,1.1830,-0.3730,200.0200,-161.0478,1.0678,CAR ,2,0,3.90,0.384
1766060836.6880322,0.8000,0.2900,1.1400,1.1642,-0.3642,198.7100,-162.4727,1.1827,CAR ,2,0,3.99,0.384
1766060836.7879977,0.7600,0.2700,1.0900,1.1461,-0.3861,197.1800,-164.0516,1.2316,CAR ,2,0,3.82,0.386
1766060836.8895836,0.7500,0.2800,1.0700,1.1281,-0.3781,195.7500,-165.7755,1.5255,CAR ,2,0,3.83,0.371
1766060836.98587,0.7400,0.2800,1.0400,1.1112,-0.3712,193.9600,-167.9417,1.9017,CAR ,2,0,3.96,0.379
1766060837.0906231,0.7400,0.2800,1.0400,1.0925,-0.3525,191.9700,-170.3598,2.3298,CAR ,2,0,3.82,0.390
1766060837.1922417,0.7300,0.2800,1.0300,1.0747,-0.3447,189.7600,-172.4180,2.1780,CAR ,2,0,3.85,0.388
1766060837.2885997,0.7200,0.2900,1.0100,1.0565,-0.3365,188.0000,-174.2972,2.2972,CAR ,2,0,3.86,0.410
1766060837.394206,0.7000,0.2800,0.9800,1.0373,-0.3373,186.1200,-176.0512,2.1712,CAR ,2,0,4.00,0.386
1766060837.4895015,0.6900,0.2700,0.9600,1.0206,-0.3306,184.4400,-177.6461,2.0861,CAR ,2,0,3.83,0.382
1766060837.5869286,0.6800,0.2700,0.9500,1.0041,-0.3241,182.6000,-179.2154,1.8154,CAR ,2,0,4.00,0.372
1766060837.6925344,0.6700,0.2700,0.9400,0.9863,-0.3163,180.6300,178.9136,1.7164,CAR ,2,0,3.82,0.387
1766060837.7912996,0.6600,0.2700,0.9200,0.9688,-0.3088,178.8600,176.8331,2.0269,CAR ,2,0,3.91,0.386
1766060837.8893976,0.6500,0.2800,0.9100,0.9516,-0.3016,176.8400,174.7011,2.1389,CAR ,2,0,3.82,0.388
1766060837.986121,0.6500,0.2700,0.9000,0.9364,-0.2864,174.5800,172.2150,2.3650,CAR ,2,0,3.87,0.374
1766060838.0868268,0.6300,0.2700,0.8700,0.9213,-0.2913,172.2500,170.0133,2.2367,CAR ,2,0,3.83,0.381
1766060838.189345,0.6300,0.2700,0.8700,0.9061,-0.2761,170.0900,168.2153,1.8747,CAR ,2,0,3.98,0.378
1766060838.2904215,0.6300,0.2800,0.8600,0.8923,-0.2623,168.5300,165.9577,2.5723,CAR ,2,0,3.84,0.367
1766060838.3943763,0.6200,0.2800,0.8500,0.8794,-0.2594,166.0800,163.0626,3.0174,CAR ,2,0,4.00,0.364
1766060838.4885325,0.6200,0.2800,0.8500,0.8669,-0.2469,163.5800,161.2924,2.2876,CAR ,2,0,3.98,0.346
1766060838.5884953,0.6100,0.2800,0.8400,0.8547,-0.2447,161.9200,159.6453,2.2747,CAR ,2,0,3.87,0.304
1766060838.693158,0.6000,0.2800,0.8200,0.8407,-0.2407,160.5500,157.9050,2.6450,CAR ,2,0,3.99,0.306
1766060838.7937438,0.5900,0.2700,0.8100,0.8299,-0.2399,158.8300,156.2596,2.5704,CAR ,2,0,3.81,0.259
1766060838.846539,0.7500,-1.0000,0.7500,0.7410,0.0090,174.7900,169.8904,4.8996,BALL,6,0,268.88,0.245
1766060838.9277246,0.5900,0.2800,0.7900,0.8154,-0.2254,156.9200,153.2482,3.6718,CAR ,2,0,3.80,0.241
1766060838.9904437,0.5800,0.2700,0.7900,0.8096,-0.2296,155.4300,151.9864,3.4436,CAR ,2,0,3.87,0.221
1766060839.0399384,0.5900,0.2800,0.8000,0.8041,-0.2141,155.0100,151.4366,3.5734,CAR ,2,0,3.82,0.218
1766060839.093935,0.6000,0.2800,0.8100,0.7967,-0.1967,154.6000,150.9942,3.6058,CAR ,2,0,3.94,0.216
1766060839.1896276,0.6300,0.2700,0.8600,0.7847,-0.1547,154.1000,150.5426,3.5574,CAR ,2,0,3.97,0.209
1766060839.291482,0.6500,0.2700,0.9100,0.7727,-0.1227,153.6900,149.3032,4.3868,CAR ,2,0,3.98,0.186
1766060839.3886328,0.6600,0.2700,0.9200,0.7603,-0.1003,153.5800,148.5079,5.0721,CAR ,2,0,3.94,0.192
1766060839.489375,0.6800,0.2700,0.9500,0.7487,-0.0687,153.3200,147.3748,5.9452,CAR ,2,0,3.99,0.165
1766060839.5874832,0.7000,0.2700,0.9900,0.7367,-0.0367,153.0500,146.8987,6.1513,CAR ,2,0,3.92,0.159
1766060839.6891794,0.2800,0.2800,1.0100,0.7243,-0.4443,152.8800,145.8783,7.0017,CAR ,2,0,3.98,0.158
1766060839.791348,0.2700,0.2700,1.0500,0.7137,-0.4437,152.6100,145.3298,7.2802,CAR ,2,0,3.85,0.140
1766060839.8836408,0.2700,0.2700,1.0800,0.7029,-0.4329,152.4300,144.6819,7.7481,CAR ,2,0,3.85,0.143
1766060839.9430017,0.2700,0.2700,1.0900,0.6969,-0.4269,152.3800,144.2249,8.1551,CAR ,2,0,3.99,0.129
1766060840.0353231,0.2700,0.2700,1.1900,0.6877,-0.4177,151.9700,143.7746,8.1954,CAR ,2,0,3.89,0.127
1766060840.0935204,0.2700,0.2700,1.2000,0.6812,-0.4112,151.9400,143.4810,8.4590,CAR ,2,0,3.81,0.133
1766060840.185226,0.2600,0.2600,1.2100,0.6731,-0.4131,151.8700,143.2304,8.6396,CAR ,2,0,3.81,0.115
1766060840.2880404,0.2500,0.2500,1.1800,0.6636,-0.4136,151.9000,142.2542,9.6458,CAR ,2,0,3.84,0.111
1766060840.3894095,0.2600,0.2600,1.2600,0.6550,-0.3950,151.5500,141.7249,9.8251,CAR ,2,0,3.94,0.112
1766060840.4464095,1.3800,1.3800,6.1500,0.6506,0.7294,120.7400,141.5188,-20.7788,CAR ,2,6,3.82,0.091
1766060840.4996479,1.0200,1.0200,5.7100,0.6458,0.3742,120.6600,141.2371,-20.5771,CAR ,2,6,3.88,0.106
1766060840.5596812,0.8400,0.8400,5.0700,0.6403,0.1997,120.5000,140.9902,-20.4902,CAR ,2,6,3.81,0.113
1766060840.6118078,0.6400,0.6400,4.4100,0.6366,0.0034,120.2900,140.6343,-20.3443,CAR ,2,6,3.92,0.098
1766060840.6711302,0.6300,0.6300,3.8400,0.6319,-0.0019,120.0700,140.4503,-20.3803,CAR ,2,6,3.79,0.090
1766060840.7240202,0.6400,0.6400,3.5100,0.6277,0.0123,119.9300,140.4514,-20.5214,CAR ,2,6,3.86,0.088
1766060840.7844932,0.6500,0.6500,3.3400,0.6229,0.0271,119.8300,140.1009,-20.2709,CAR ,2,6,3.83,0.097
1766060840.834985,0.6200,0.6200,3.2100,0.6191,0.0009,119.7600,139.7384,-19.9784,CAR ,2,6,3.95,0.097
1766060840.88718,0.2700,0.2700,1.5400,0.6151,-0.3451,150.6800,139.3264,11.3536,CAR ,2,0,4.00,0.091
1766060840.9467618,0.4800,0.4800,2.7500,0.6103,-0.1303,119.3400,139.0753,-19.7353,CAR ,2,6,4.00,0.091
1766060841.0149965,0.4100,0.4100,2.5300,0.6051,-0.1951,119.1300,138.9760,-19.8460,CAR ,2,6,3.96,0.084
1766060841.0883145,0.2500,0.2500,1.6000,0.6003,-0.3503,150.5600,138.6646,11.8954,CAR ,2,0,3.83,0.075
1766060841.1851037,0.4000,0.4000,2.3400,0.5934,-0.1934,118.9500,138.1789,-19.2289,CAR ,2,6,3.84,0.082
1766060841.2469144,0.2700,0.2700,1.6100,0.5891,-0.3191,150.4700,138.0475,12.4225,CAR ,2,0,3.97,0.083
1766060841.3001003,0.2800,0.2800,1.6200,0.5864,-0.3064,150.4200,137.6082,12.8118,CAR ,2,0,3.81,0.064
1766060841.3562815,0.2800,0.2800,1.6400,0.5834,-0.3034,150.4100,137.2769,13.1331,CAR ,2,0,3.79,0.058
1766060841.407381,0.2500,0.2500,1.6700,0.5804,-0.3304,150.2500,137.2488,13.0012,CAR ,2,0,3.89,0.064
1766060841.4585204,0.2400,0.2400,1.8000,0.5768,-0.3368,150.0100,137.2734,12.7366,CAR ,2,0,3.82,0.074
1766060841.5176346,0.4100,0.4100,1.8300,0.5724,-0.1624,118.1500,137.4007,-19.2507,CAR ,2,6,3.82,0.081
1766060841.5681982,0.3700,0.3700,1.8200,0.5694,-0.1994,118.1400,137.1967,-19.0567,CAR ,2,6,3.83,0.064
1766060841.6215994,0.4900,0.4900,1.8200,0.5665,-0.0765,118.1300,136.8306,-18.7006,CAR ,2,6,3.82,0.061
1766060841.6824853,0.4000,0.4000,1.7400,0.5627,-0.1627,117.9100,136.5645,-18.6545,CAR ,2,6,3.96,0.069
1766060841.7370727,0.4100,0.4100,1.6800,0.5590,-0.1490,117.7900,136.4029,-18.6129,CAR ,2,6,3.81,0.073
1766060841.7917893,0.3800,0.3800,1.6300,0.5560,-0.1760,117.6600,136.5432,-18.8832,CAR ,2,6,3.82,0.065
1766060841.8493025,0.2300,0.2300,2.2200,0.5533,-0.3233,149.3400,136.4105,12.9295,CAR ,2,0,3.93,0.053
1766060841.90757,0.5300,0.5300,1.6100,0.5507,-0.0207,117.6300,136.1441,-18.5141,CAR ,2,6,3.81,0.045
1766060841.9895167,0.2200,0.2200,2.2300,0.5460,-0.3260,149.2400,136.0354,13.2046,CAR ,2,0,3.98,0.060
1766060842.0470903,0.5600,0.5600,1.5400,0.5423,0.0177,117.4300,136.0185,-18.5885,CAR ,2,6,3.81,0.065
