Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766050573.5428913,0.2800,0.2800,2.8300,2.0503,-1.7703,238.6100,-127.0855,5.6955,CAR ,2,2,1.58,0.000
1766050573.595768,0.2800,0.2800,2.8300,2.0504,-1.7704,238.6000,-127.0830,5.6830,CAR ,2,2,1.57,0.001
1766050573.6498325,0.2800,0.2800,2.6800,2.0503,-1.7703,238.7300,-127.0993,5.8293,CAR ,2,2,1.58,0.001
1766050573.7590115,0.2800,0.2800,2.7700,2.0504,-1.7704,238.6500,-127.0862,5.7362,CAR ,2,2,1.58,0.000
1766050573.857131,0.2800,0.2800,2.6600,2.0503,-1.7703,238.7500,-127.0875,5.8375,CAR ,2,2,1.58,0.000
1766050573.9090686,0.2800,0.2800,2.6900,2.0504,-1.7704,238.7200,-127.0893,5.8093,CAR ,2,2,1.60,0.000
1766050573.959995,0.2900,0.2900,4.3500,2.0504,-1.7604,237.8100,-127.0899,4.8999,CAR ,2,2,1.59,0.000
1766050574.0228298,0.2800,0.2800,2.6300,2.0503,-1.7703,238.7800,-127.0920,5.8720,CAR ,2,2,1.57,0.000
1766050574.1314201,0.2800,0.2800,2.6900,2.0504,-1.7704,238.7200,-127.0882,5.8082,CAR ,2,2,1.58,0.000
1766050574.190831,0.2800,0.2800,2.7300,2.0504,-1.7704,238.6900,-127.0917,5.7817,CAR ,2,2,1.57,0.000
1766050574.2945135,0.2800,0.2800,2.7400,2.0503,-1.7703,238.6800,-127.0902,5.7702,CAR ,2,2,1.57,0.000
1766050574.383177,0.2800,0.2800,2.7600,2.0503,-1.7703,238.6600,-127.0884,5.7484,CAR ,2,2,1.58,0.000
1766050574.4557607,0.2800,0.2800,2.7300,2.0503,-1.7703,238.6900,-127.0960,5.7860,CAR ,2,2,1.57,0.000
1766050574.5072331,0.2800,0.2800,2.6800,2.0503,-1.7703,238.7300,-127.0971,5.8271,CAR ,2,2,1.59,0.000
1766050574.5665832,0.2800,0.2800,2.7000,2.0503,-1.7703,238.7200,-127.0854,5.8054,CAR ,2,2,1.59,0.000
